,r,r,r,r,r,r,r,r,r,r,mean_reward,timesteps
0,-1554.803751,-886.52344,-1071.407297,-1508.3308140000001,-1164.060786,-1074.225799,-1422.242585,-1071.671243,-1255.830203,-968.5177550000001,-1197.7613673,200
1,-1048.424882,-757.122107,-1270.29244,-880.034285,-1102.2353859999998,-866.17562,-856.621236,-779.6508660000001,-864.076621,-1025.102539,-944.9735981999999,400
2,-1541.722162,-1813.6546469999998,-1213.021469,-1612.715422,-882.590782,-1195.559005,-1174.660321,-1505.085493,-843.779245,-1092.339719,-1287.5128264999998,600
3,-888.6416009999999,-1477.078348,-1754.518081,-1310.1996060000001,-1195.022233,-1246.815163,-1353.200499,-1248.890933,-872.663351,-1122.229031,-1246.9258846,800
4,-1641.255027,-895.1097779999999,-1100.925897,-868.636823,-1166.9405359999998,-1358.203259,-1056.428043,-1501.519123,-1243.536286,-1400.997909,-1223.3552681,1000
5,-1676.978551,-1760.015036,-1539.883597,-1717.5247129999998,-1430.299371,-1178.645917,-754.4344219999999,-1678.998096,-744.6372690000001,-873.670033,-1335.5087005,1200
6,-888.8545439999999,-1558.953156,-1281.399735,-1267.634411,-1664.289076,-1619.818403,-1379.971077,-1882.125627,-1063.616098,-1443.168944,-1404.9831071,1400
7,-1601.912194,-885.9750439999999,-1485.843052,-990.9222880000001,-1183.3827310000001,-855.471705,-1455.2963220000001,-1745.6462,-1526.868634,-1363.552707,-1309.4870876999998,1600
8,-747.246177,-1405.064365,-701.270628,-1159.907375,-1656.290253,-864.918174,-874.247543,-852.460841,-1501.9468869999998,-1475.359616,-1123.8711859,1800
9,-1704.323382,-1132.104205,-1517.934417,-974.8153060000001,-1034.191294,-900.15406,-979.961175,-989.379358,-1455.698689,-1171.346558,-1185.9908444,2000
10,-1342.944643,-1167.013605,-963.335433,-1300.2128300000002,-1561.712294,-748.310292,-767.988488,-1723.440506,-1226.7221240000001,-1083.158038,-1188.4838253,2200
11,-1025.1105619999998,-1068.265597,-1327.247043,-1672.6607470000001,-1496.294324,-1855.364053,-954.9152949999999,-1332.394333,-1071.911408,-1432.987867,-1323.7151228999999,2400
12,-1480.6287810000001,-925.094152,-1731.4620350000002,-762.186187,-887.668991,-1138.721127,-1045.6054900000001,-1293.055055,-1307.068261,-1757.6305350000002,-1232.9120614,2600
13,-1168.479313,-873.767683,-1327.425158,-1751.2703620000002,-1708.090008,-1081.0808029999998,-1028.519591,-1646.577482,-1667.092368,-1274.518315,-1352.6821083,2800
14,-956.4209089999999,-1078.735422,-964.319639,-1609.885785,-1086.18642,-1716.164986,-1660.298536,-1337.0887109999999,-984.4142949999999,-1549.112152,-1294.2626855,3000
15,-937.319435,-834.096566,-1711.426054,-1261.827923,-1069.2229929999999,-1666.084439,-1766.838681,-932.778848,-994.43479,-1250.050677,-1242.4080405999998,3200
16,-772.9085769999999,-998.631921,-1196.5779300000002,-1288.5412609999998,-1382.146451,-1026.0769599999999,-1548.03677,-1732.453491,-1609.38099,-1534.552392,-1308.9306743000002,3400
17,-750.055208,-900.997468,-898.160958,-841.9234339999999,-1193.50214,-1066.856471,-1580.000932,-1751.1304739999998,-1172.5212279999998,-1308.388794,-1146.3537107,3600
18,-1664.007083,-897.360333,-1069.8797140000001,-1403.498867,-1505.309152,-1589.261631,-1348.324476,-1030.574112,-1070.2337630000002,-1733.4209190000001,-1331.1870050000002,3800
19,-862.1942710000001,-898.4159699999999,-1344.858069,-1069.8994460000001,-898.186542,-1635.037566,-1076.122461,-1833.3737760000001,-891.9357539999999,-1166.124277,-1167.6148131999998,4000
20,-1073.316686,-1677.412683,-1578.530912,-1263.254578,-1718.493452,-873.029277,-857.7115980000001,-1041.39694,-1330.774159,-876.0562060000001,-1228.9976491,4200
21,-1714.2512170000002,-1617.6708449999999,-911.8001289999999,-1705.7044239999998,-933.492269,-1070.201187,-1540.8696029999999,-1095.87051,-1152.24486,-911.9171220000001,-1265.4022166,4400
22,-1718.456563,-1008.552743,-903.6569199999999,-1696.8266420000002,-884.7082460000001,-1206.549761,-1180.3273140000001,-1274.2519810000001,-1569.3502640000002,-1070.425075,-1251.3105509000002,4600
23,-1429.376631,-1572.669814,-1619.326026,-1611.312325,-896.548877,-1312.13656,-1723.6966320000001,-1067.017431,-1552.196742,-1114.071503,-1389.8352541,4800
24,-903.4507890000001,-986.471509,-1006.146458,-965.782415,-873.645481,-1396.664856,-1188.6230679999999,-1571.723173,-1200.414609,-1212.573667,-1130.5496025,5000
25,-1646.0126109999999,-1041.536122,-1385.445761,-965.0110699999999,-1626.710144,-1306.972913,-1448.526345,-1096.548519,-894.398171,-1856.577086,-1326.7738742,5200
26,-1446.544911,-1094.925842,-1465.704447,-1815.390161,-963.237941,-1537.166897,-1356.13564,-965.497491,-915.8653929999999,-1016.6500279999999,-1257.7118751,5400
27,-972.152224,-1046.81,-1106.693335,-1047.446152,-893.730958,-1075.295349,-1013.3270130000001,-890.331019,-1271.156487,-1068.242115,-1038.5184652,5600
28,-997.64816,-900.8829630000001,-1074.6713220000001,-1541.90685,-1679.939159,-933.977976,-909.879599,-970.01454,-1528.87148,-1690.115447,-1222.7907496,5800
29,-1861.452329,-1064.8692859999999,-1043.8539859999998,-963.7713369999999,-1095.773014,-1039.430857,-897.238868,-1071.818463,-1061.967361,-1066.690351,-1116.6865852,6000
30,-1214.618603,-809.992379,-902.78531,-968.000232,-1336.3036849999999,-1341.948511,-1336.84003,-978.234203,-1143.353703,-987.022119,-1101.9098775,6200
31,-1371.083181,-1638.5618980000002,-1320.89038,-1039.401063,-1014.3798400000001,-1188.956577,-1514.7932640000001,-882.978867,-1280.771561,-1170.667706,-1242.2484337,6400
32,-883.4893050000001,-1010.7963550000001,-1045.232675,-1407.6484699999999,-972.065392,-1020.811282,-1232.817371,-891.267074,-759.870448,-1008.1951339999999,-1023.2193505999998,6600
33,-1202.117359,-1262.333161,-848.8367720000001,-1028.093302,-1100.132201,-1069.191839,-1263.4452410000001,-1006.639614,-1032.714283,-1088.357355,-1090.1861127,6800
34,-1362.827852,-1443.465628,-976.389242,-1165.000688,-1654.66956,-1265.764178,-907.0187269999999,-1273.3541289999998,-1649.709584,-1326.20229,-1302.4401877999999,7000
35,-1767.23685,-1050.27929,-967.93838,-932.9490599999999,-998.298551,-1477.110933,-887.9071240000001,-1031.254881,-1164.494907,-1060.929343,-1133.8399319,7200
36,-1752.675784,-1280.298826,-1012.1952759999999,-1392.377295,-1011.563501,-1253.170468,-960.8786060000001,-1337.81289,-1223.4937009999999,-1046.8727900000001,-1227.1339136999998,7400
37,-1176.998576,-816.2158099999999,-1006.425739,-1021.368616,-756.8476900000001,-1127.821395,-1164.843529,-1191.132031,-1407.447022,-1475.560051,-1114.4660459000002,7600
38,-927.754059,-1473.305155,-1141.65716,-768.959846,-1581.402104,-1071.81679,-1229.745331,-967.6836480000001,-1424.851517,-1060.2827539999998,-1164.7458364,7800
39,-1059.5626630000002,-1552.1289880000002,-1114.774365,-1445.2914349999999,-1349.739325,-1136.448512,-1051.192382,-1447.7791109999998,-864.1849199999999,-1766.61054,-1278.7712241,8000
40,-1556.961875,-982.1044189999999,-1024.8168699999999,-974.075576,-888.6233970000001,-1279.6505439999999,-989.682,-1612.9732609999999,-1521.0293960000001,-1296.888399,-1212.6805737,8200
41,-1660.991219,-1022.20607,-1219.020403,-988.9816910000001,-1002.271808,-1001.052675,-1043.402093,-1405.10131,-895.568586,-1033.86424,-1127.2460095000001,8400
42,-1120.32188,-1024.401428,-1188.1395730000002,-1018.561068,-884.284636,-1232.7235460000002,-828.51802,-1187.02512,-1179.59322,-1659.6911599999999,-1132.3259651000003,8600
43,-1135.54577,-1467.090071,-1043.635987,-1370.481286,-945.1980480000001,-1722.913275,-1086.467083,-1031.629646,-1323.0874310000002,-1176.817473,-1230.286607,8800
44,-915.797436,-1398.494452,-1025.180297,-1808.746509,-1446.084409,-1178.095559,-1148.256842,-1114.9754369999998,-1467.135914,-1090.355605,-1259.312246,9000
45,-1123.3622289999998,-1035.257778,-1367.5635320000001,-977.131219,-920.9795210000001,-1230.089273,-1564.957598,-1156.039896,-1083.337672,-1146.7611960000002,-1160.5479914,9200
46,-1304.350677,-1200.464559,-1193.280318,-1235.590908,-1044.152402,-1185.377416,-1030.753751,-1147.6416869999998,-1232.625873,-1106.6331710000002,-1168.0870761999997,9400
47,-1025.192102,-1536.557639,-1238.141305,-1082.34747,-1254.246187,-1439.17627,-1502.33264,-1243.2328929999999,-1040.249215,-1014.364026,-1237.5839747,9600
48,-1001.224684,-1407.8475970000002,-1101.597374,-1338.618452,-1027.206737,-1458.159664,-1240.008497,-1237.9379720000002,-1198.621765,-1104.148288,-1211.5371030000001,9800
49,-1027.74947,-1147.945352,-1462.826762,-1020.460456,-994.5373470000001,-1340.261957,-1268.191608,-1136.65167,-726.522808,-1728.554075,-1185.3701505,10000
50,-1599.373361,-1251.043068,-1018.2039970000001,-726.075811,-1164.1944449999999,-1392.8665039999998,-1090.495783,-1085.2503869999998,-883.858055,-1010.652992,-1122.2014402999998,10200
51,-856.3676519999999,-1187.537389,-1116.047229,-1344.999599,-1048.281153,-1277.780612,-1304.83449,-1175.705007,-1018.8207259999999,-897.829865,-1122.8203721999998,10400
