,r,r,r,r,r,r,r,r,r,r,mean_reward,timesteps
0,-1676.903174,-842.087553,-1399.874673,-1524.695924,-1239.8058529999998,-1190.2339470000002,-1527.05397,-968.9721480000001,-1168.181936,-968.277334,-1250.6086512000004,200
1,-1221.695868,-891.70248,-1370.776368,-1298.139137,-982.7858679999999,-1455.9511810000001,-868.4077179999999,-1147.748504,-891.4502259999999,-854.1268210000001,-1098.2784171,400
2,-1462.67036,-846.6817550000001,-1181.490557,-964.9735609999999,-1593.612369,-979.2549619999999,-1211.268492,-1235.328099,-784.0898490000001,-977.395583,-1123.6765587,600
3,-1182.5353289999998,-863.743459,-1278.0363300000001,-1409.884611,-883.4446130000001,-1171.786433,-880.814281,-958.1199109999999,-969.7267609999999,-866.5990039999999,-1046.4690732,800
4,-1306.59976,-1069.796899,-1418.390092,-955.502034,-967.302478,-848.138603,-887.3407710000001,-780.114648,-875.213698,-763.102409,-987.1501391999998,1000
5,-1071.142216,-950.851592,-1334.513679,-1210.4870039999998,-1179.495918,-860.9948289999999,-1146.005442,-986.17939,-881.131334,-966.64335,-1058.7444754,1200
6,-1343.4388490000001,-1767.9851039999999,-860.811558,-1186.907797,-898.581374,-1074.128361,-768.7231429999999,-864.49963,-1021.059635,-976.496103,-1076.2631554,1400
7,-872.6590630000001,-1140.035152,-1199.726878,-883.649501,-1165.69396,-842.1005789999999,-1079.3634880000002,-1078.512544,-779.8456219999999,-1703.631896,-1074.5218683,1600
8,-1303.828023,-887.4543,-869.796184,-1038.868461,-863.700988,-1065.526954,-867.0325949999999,-745.171702,-1799.360563,-1077.278844,-1051.8018614,1800
9,-841.7260640000001,-1023.891592,-931.866552,-874.03566,-859.208362,-872.282375,-873.772744,-1862.854443,-1172.182984,-749.702559,-1006.1523334999999,2000
10,-1471.104967,-1789.120886,-1301.888379,-1625.5191619999998,-1001.922641,-1219.0920130000002,-1257.2037050000001,-1570.824548,-788.180145,-1319.5466390000001,-1334.4403085,2200
