,r,r,r,r,r,r,r,r,r,r,mean_reward,timesteps
0,-1758.3195879999998,-980.242257,-1286.884242,-1382.183099,-1219.332979,-1187.53235,-1425.856116,-973.7933,-1167.923473,-991.8575119999999,-1237.3924916,200
1,-1229.1756679999999,-752.662612,-1090.358427,-1275.643012,-1181.821917,-1346.994389,-976.572818,-966.6899070000001,-1147.0177,-1068.937493,-1103.5873943000001,400
2,-1376.189552,-928.9127480000001,-1296.370069,-1185.173569,-1446.488073,-812.524755,-1163.137511,-998.551315,-768.532765,-902.8906400000001,-1087.8770997000001,600
3,-1063.25848,-971.2374619999999,-1427.8076,-898.2347880000001,-1174.952465,-751.435918,-1076.627466,-899.3999880000001,-1012.0978140000001,-860.7630839999999,-1013.5815065,800
4,-1370.325351,-1770.7170230000002,-967.532914,-1168.288427,-858.41039,-1170.932732,-872.0892640000001,-869.112025,-1032.9014439999999,-862.567116,-1094.2876686,1000
5,-858.101684,-1043.169946,-1071.469432,-855.72131,-871.0384130000001,-999.890319,-867.974078,-779.853931,-892.3827980000001,-1749.015182,-998.8617093,1200
6,-1625.179028,-1647.6868980000002,-1289.465766,-1655.047364,-870.9609529999999,-1169.256873,-1283.729438,-1436.605587,-769.61025,-1076.1283130000002,-1282.3670470000002,1400
7,-1266.644905,-978.602883,-1555.486086,-1166.691312,-1122.082003,-1300.7111439999999,-1553.260624,-872.610326,-1082.3243220000002,-1650.01025,-1254.8423854999999,1600
8,-1800.647272,-1008.3024019999999,-967.440968,-1227.463262,-1091.1378869999999,-1723.0289510000002,-761.135841,-1260.5822679999999,-1557.1409039999999,-695.856956,-1209.2736711,1800
9,-880.7817210000001,-1275.281693,-1587.687845,-1392.493679,-1181.0164849999999,-1222.262066,-1438.095523,-1251.706287,-827.9976059999999,-1100.4623789999998,-1215.7785284000001,2000
10,-1649.0210339999999,-865.771956,-1331.599623,-1267.003664,-1245.0166060000001,-1453.4463369999999,-1159.5350019999998,-884.637135,-931.655218,-1289.621625,-1207.73082,2200
11,-1366.942299,-866.7500970000001,-1259.4268789999999,-1200.809887,-1258.190405,-1411.578538,-947.502933,-1075.14107,-1332.045328,-764.193983,-1148.2581419,2400
12,-1704.9921530000001,-777.372064,-1172.121774,-963.27861,-1193.252661,-1294.857652,-738.863355,-1449.7578740000001,-1257.374076,-1422.0754789999999,-1197.3945698000002,2600
13,-1108.6747369999998,-1652.527714,-870.325464,-1341.726046,-1180.932126,-788.4275660000001,-1499.898834,-1092.127976,-1376.459735,-1057.464276,-1196.8564474,2800
14,-755.4638,-1188.541606,-1329.487653,-1211.615656,-893.432743,-1528.144629,-971.064925,-1283.686758,-869.3714359999999,-1810.594365,-1184.1403570999998,3000
15,-1566.2923289999999,-1721.2939809999998,-1620.091629,-1865.0372960000002,-1415.812629,-1169.933555,-741.40676,-1486.329002,-967.15717,-853.794476,-1340.7148827,3200
