,r,r,r,r,r,r,r,r,r,r,mean_reward,timesteps
26,-1175.84218,-890.8262179999999,-1192.080723,-1181.785236,-1321.270636,-1248.454125,-907.7417429999999,-1168.204636,-1311.342651,-858.935424,-1125.6483571999997,5400
27,-1168.040525,-851.825168,-1313.472137,-1307.576754,-1160.4924720000001,-876.5250689999999,-1225.026286,-1372.874333,-762.4996940000001,-772.1273620000001,-1081.0459799999999,5600
28,-1154.543398,-866.275206,-1459.0097230000001,-1167.514475,-753.156158,-966.232003,-1305.421164,-749.693582,-958.049143,-877.040384,-1025.6935236000002,5800
29,-1346.971198,-1274.848294,-1165.3427140000001,-859.1263449999999,-1179.922777,-1439.890862,-853.1784369999999,-830.8454519999999,-867.940667,-834.647773,-1065.2714519,6000
30,-1161.67595,-854.148884,-752.9048730000001,-1378.721725,-1433.531425,-887.4502470000001,-989.098832,-859.2519199999999,-878.105349,-1289.1541869999999,-1048.4043391999999,6200
31,-900.370857,-1141.129625,-1085.57997,-1078.400599,-865.636317,-758.608332,-875.16443,-898.6092189999999,-1470.648945,-764.841564,-983.8989858000001,6400
32,-1801.4088239999999,-887.943503,-1298.391132,-743.7345190000001,-1379.826288,-1310.710036,-969.6175789999999,-1435.898002,-1067.89581,-1260.1713630000002,-1215.5597056,6600
33,-1173.081475,-1568.10448,-896.028233,-977.1109869999999,-1455.012764,-860.642191,-1572.177477,-1057.356002,-1177.736887,-985.237362,-1172.2487858,6800
34,-886.065955,-1300.8831369999998,-1282.097395,-1333.454017,-859.283061,-1415.598816,-1165.6722029999999,-1326.9675949999998,-760.135845,-1649.196631,-1197.9354655000002,7000
35,-1211.6266269999999,-884.329188,-1189.261594,-884.810626,-1592.623983,-966.902934,-1334.056628,-878.847434,-1636.447066,-1183.8880550000001,-1176.2794135,7200
36,-1409.794509,-1303.405695,-899.554527,-1588.346442,-928.0569550000001,-1322.185416,-969.34065,-1540.472775,-1338.115928,-890.227781,-1218.9500678,7400
37,-959.922466,-1179.437266,-1486.915511,-1005.1263230000001,-1167.237854,-815.6106940000001,-1555.18413,-1488.904638,-886.4372199999999,-1365.290223,-1191.0066325,7600
38,-1502.022008,-1787.443374,-1074.599362,-1302.2091679999999,-844.67934,-1446.731194,-1277.052977,-847.845204,-1185.882801,-1187.407931,-1245.5873358999997,7800
39,-1171.674449,-970.412016,-1240.0594609999998,-882.313215,-1506.345574,-1285.704274,-853.429871,-1198.7432410000001,-1282.8054240000001,-1749.4380780000001,-1214.0925603,8000
40,-1789.326411,-1586.652801,-1575.517893,-1764.2625920000003,-1451.373304,-1144.681449,-983.267304,-1724.3061739999998,-1077.805294,-883.615501,-1398.0808722999998,8200
41,-1658.1694949999999,-1535.953716,-1643.7805019999998,-1226.565979,-1106.453167,-741.914368,-1772.445066,-902.5064880000001,-847.0638359999999,-1611.535662,-1304.6388278999998,8400
42,-1593.794326,-1508.281391,-1662.279243,-1176.126937,-848.6383960000001,-1592.628127,-759.538684,-764.6893660000001,-1589.429083,-1515.839952,-1301.1245505000002,8600
43,-1368.1246039999999,-883.406799,-1178.200625,-853.152934,-1704.550599,-804.3306759999999,-691.305251,-1768.9448760000002,-1503.009035,-1177.1782369999999,-1193.2203636,8800
44,-1152.888753,-945.0266349999999,-819.899007,-1785.4785969999998,-938.9645869999999,-976.579322,-1649.279204,-1725.22965,-1168.4058519999999,-773.8947049999999,-1193.5646312,9000
