,r,r,r,r,r,r,r,r,r,r,mean_reward,timesteps
0,-1621.525622,-902.6552539999999,-1312.287785,-1615.227098,-977.210873,-1180.1174039999999,-1470.115927,-960.3100289999999,-1144.979031,-1065.9527560000001,-1225.0381779000002,200
1,-1142.696812,-888.3996380000001,-1427.763678,-1172.282284,-1168.746472,-1372.204252,-750.005121,-924.281342,-1000.956325,-964.355499,-1081.1691422999997,400
2,-1373.1002740000001,-885.6603259999999,-1158.058669,-1095.566331,-1499.096465,-812.357869,-1153.806809,-1180.36766,-883.2388900000001,-967.0146269999999,-1100.8267920000003,600
3,-1210.317638,-1077.825158,-1377.841995,-1600.292875,-852.4915070000001,-1280.778609,-852.832767,-871.3733609999999,-899.432928,-954.9815150000001,-1097.8168352999999,800
4,-1206.48336,-956.8724779999999,-1445.809563,-882.61222,-1113.344024,-1180.957567,-862.7489210000001,-893.385866,-856.1010359999999,-1019.336073,-1041.7651108000002,1000
5,-1469.155382,-1684.9786780000002,-970.6169869999999,-1171.170039,-1168.344023,-879.5115119999999,-967.416658,-863.692623,-1050.8617060000001,-1079.1047939999999,-1130.4852402000001,1200
6,-1071.6265230000001,-1428.632305,-1240.135422,-1163.650196,-916.0888480000001,-872.690258,-756.233021,-926.8975,-1169.2125429999999,-1439.748646,-1098.4915262,1400
7,-1154.682413,-1760.765341,-984.5220710000001,-850.26408,-970.9480580000001,-891.2758039999999,-1028.107129,-1087.4756710000001,-1422.6116849999999,-1510.927867,-1166.1580119,1600
8,-986.4994439999999,-864.6915130000001,-1194.230558,-1237.6297240000001,-1065.839877,-755.110593,-1008.0719220000001,-910.183258,-1016.611577,-874.170941,-991.3039407000002,1800
9,-1306.875864,-1700.432679,-955.5376359999999,-1110.894,-1072.957873,-1126.893035,-906.8932679999999,-877.126628,-921.826467,-888.551088,-1086.7988538000002,2000
10,-965.791331,-1173.280758,-1149.473267,-883.883295,-927.15976,-939.02814,-1060.148089,-889.5393210000001,-967.705437,-1677.416981,-1063.3426379000002,2200
11,-1174.6912929999999,-793.552875,-986.98285,-970.8581300000001,-880.992616,-872.7462130000001,-972.515718,-926.1594130000001,-1787.546648,-1060.254613,-1042.6300369,2400
12,-776.632042,-751.59975,-863.870337,-767.301404,-874.1060779999999,-861.108689,-1077.4426740000001,-1663.184007,-1168.208079,-652.428493,-945.5881552999999,2600
13,-1077.315877,-1410.424373,-956.1518570000001,-972.246067,-969.072974,-983.7012800000001,-1573.7529550000002,-1000.201601,-853.264902,-972.760361,-1076.8892247,2800
14,-952.3070220000001,-1497.361311,-645.550626,-1147.962622,-861.085874,-1841.9210010000002,-1090.826024,-818.007647,-960.409114,-1303.882617,-1111.9313858,3000
