,r,r,r,r,r,r,r,r,r,r,mean_reward,timesteps
0,-1469.332468,-756.2738400000001,-1212.645026,-1365.665293,-1292.306098,-1072.284192,-1501.71174,-1147.0927359999998,-976.4933869999999,-1058.725218,-1185.2529998000002,200
1,-1330.150546,-858.6690269999999,-1331.188372,-1023.492209,-966.0580550000001,-1549.36481,-970.02465,-1073.252931,-1167.823009,-965.819087,-1123.5842696,400
2,-1011.976631,-764.664211,-1270.42357,-967.285185,-1163.021348,-889.21345,-998.8096119999999,-766.633628,-894.741318,-960.0814550000001,-968.6850408,600
3,-1455.890613,-1659.558036,-853.3237230000001,-1000.5509119999999,-968.956406,-1019.595172,-755.2524400000001,-867.574773,-984.951222,-760.936693,-1032.658999,800
4,-1622.645084,-1790.4812,-1181.041811,-1628.503569,-852.572164,-1184.889382,-1247.856754,-1492.375425,-749.7498360000001,-1185.880885,-1293.599611,1000
5,-1195.395777,-886.9330769999999,-1616.694226,-882.4045880000001,-1261.289213,-1358.782402,-1627.775269,-946.3207189999999,-1057.418846,-1809.033518,-1264.2047635000001,1200
6,-880.49216,-1317.2476689999999,-1505.519988,-1374.621709,-1151.888954,-1159.364923,-1326.991089,-978.3664060000001,-892.735426,-1198.013501,-1178.5241824999998,1400
7,-1646.730319,-953.373794,-1297.380586,-1132.7405310000001,-1201.836924,-1313.870521,-1191.766059,-787.056867,-1103.814222,-1297.664785,-1192.6234608,1600
8,-1742.296715,-887.441715,-982.0357869999999,-865.2136929999999,-1160.114157,-1378.153315,-875.6046640000001,-1337.63843,-1098.310943,-1073.801268,-1140.0610687,1800
9,-1162.9854070000001,-1768.1764079999998,-903.496841,-1273.625698,-1307.5277939999999,-886.102626,-1520.2176980000002,-1071.7575689999999,-1260.299123,-1018.4429130000001,-1217.2632077,2000
10,-1725.024402,-1708.74184,-1478.366654,-1726.81953,-1457.422916,-1094.593557,-944.411609,-1711.4192469999998,-799.768693,-758.303923,-1340.4872371,2200
11,-1546.6711289999998,-1498.164,-1559.676664,-1499.631397,-1069.83139,-998.707563,-1500.9326130000002,-753.5941799999999,-725.54811,-1581.646025,-1273.4403071000002,2400
12,-1001.6782699999999,-1550.197947,-1232.113406,-1223.941018,-1828.7199690000002,-1545.435359,-1488.976832,-1719.712285,-947.168492,-1531.637792,-1406.958137,2600
13,-1440.416756,-1420.058706,-1295.6738269999998,-1786.2782260000001,-1435.265906,-1488.711339,-1685.921502,-1063.718811,-1479.715358,-1310.316629,-1440.607706,2800
14,-1659.705433,-919.988712,-1440.84122,-1069.942507,-1314.033011,-1070.601455,-1304.380447,-1800.2388,-1746.845941,-1270.161007,-1359.6738532999998,3000
15,-1480.127133,-953.42662,-1129.552184,-1332.698372,-860.227914,-1627.66402,-1659.805006,-1774.1601309999999,-1257.621597,-753.2332660000001,-1282.8516243,3200
