,r,r,r,r,r,r,r,r,r,r,mean_reward,timesteps
0,-1537.273625,-876.3529570000001,-1286.721986,-1573.9812029999998,-1199.568393,-1156.49055,-1391.145024,-960.749442,-1198.7883630000001,-970.8916939999999,-1215.1963237,200
1,-1012.213291,-878.230568,-1406.209607,-866.656567,-1163.246624,-890.453003,-1069.525269,-863.787232,-963.9371259999999,-1064.1469240000001,-1017.8406210999999,400
2,-1626.024984,-1701.378886,-1288.448506,-1555.337268,-878.457297,-1165.420951,-1090.120398,-1589.399003,-970.1871679999999,-990.716715,-1285.5491176,600
3,-855.0780189999999,-1277.683743,-1648.9929220000001,-1178.755733,-1289.637559,-1261.094594,-1443.423315,-1336.31432,-1045.84875,-1179.873738,-1251.6702693000002,800
4,-1573.3679550000002,-745.4880519999999,-1081.160056,-771.992837,-1070.407721,-1293.482641,-887.344919,-1375.587648,-971.606898,-1284.549416,-1105.4988143,1000
5,-1676.104329,-1623.7002289999998,-1719.9198370000001,-1670.423466,-1293.214688,-1165.738237,-818.264819,-1705.1235980000001,-972.103207,-763.448711,-1340.8041121,1200
6,-946.096501,-1306.151775,-1294.179857,-1252.380638,-1688.45002,-1619.530592,-1561.401724,-1764.790637,-1035.497128,-1475.937646,-1394.4416518,1400
7,-1594.5917140000001,-886.3023910000001,-1535.562487,-1147.584604,-1293.328584,-750.624025,-1319.009228,-1653.138756,-1651.962689,-1369.013333,-1320.1117811000001,1600
8,-858.3653529999999,-1606.689784,-871.068883,-1286.575508,-1577.986746,-948.289861,-1153.824287,-889.6569910000001,-1576.722132,-1824.269924,-1259.3449469000002,1800
9,-1852.3892050000002,-1169.367253,-1360.577338,-1064.839276,-975.340457,-757.128865,-966.645853,-954.566847,-1417.692354,-1068.992818,-1158.7540266,2000
10,-1029.103713,-1145.192458,-896.1439859999999,-1173.2576279999998,-1449.983959,-1072.381054,-712.67777,-1679.709424,-1315.85573,-865.650184,-1133.9955906,2200
11,-915.532937,-1070.5287050000002,-1278.9360570000001,-1659.109745,-1804.8233899999998,-1721.40537,-1129.906057,-1351.422312,-1171.063657,-1526.722099,-1362.9450329000001,2400
12,-1617.371087,-1150.564884,-1642.576671,-952.750581,-812.1309269999999,-859.2743210000001,-1142.441106,-1328.3300789999998,-1308.0956099999999,-1686.256973,-1249.9792239,2600
13,-1194.616765,-942.9069210000001,-1241.430339,-1602.2993490000001,-1706.020918,-1066.2802060000001,-1074.229615,-1696.9721170000003,-1378.4231869999999,-1227.231652,-1313.0411069,2800
14,-895.1852289999999,-1036.19497,-1175.133285,-1722.815707,-1068.829984,-1761.173546,-1719.3589769999999,-1311.2549,-745.294757,-1523.130791,-1295.8372145999997,3000
15,-1161.435528,-810.327871,-1757.5642899999998,-1291.057076,-1284.2078179999999,-1540.014018,-1851.749938,-972.180202,-1052.925882,-1280.835366,-1300.2297988999999,3200
16,-630.363911,-1039.08861,-1475.744278,-1312.594188,-1688.730675,-915.112784,-1538.006973,-1608.083387,-1570.052574,-1595.9769880000001,-1337.3754368,3400
17,-939.3745349999999,-995.6965460000001,-1068.245288,-1084.6775710000002,-1454.740696,-1210.062807,-1597.416369,-1739.767361,-1145.580023,-1215.375168,-1245.0936364000002,3600
18,-1479.398544,-895.9912949999999,-1394.0163630000002,-1490.9303830000001,-1661.212887,-1515.192415,-1581.34664,-1237.037169,-893.88675,-1555.257077,-1370.4269522999998,3800
19,-887.481153,-951.9777550000001,-1643.720935,-1175.373842,-1323.2620550000001,-1728.502084,-1373.990128,-1586.592642,-883.8039560000001,-1269.054017,-1282.3758567,4000
20,-886.977234,-1136.968026,-1779.8617960000001,-1386.706668,-1774.446619,-873.611291,-1177.983495,-870.21785,-1201.287803,-1062.0022279999998,-1215.006301,4200
21,-1493.172583,-1775.1485089999999,-1371.65552,-1672.984265,-1020.335776,-894.253424,-1666.010508,-1181.8507789999999,-918.3573039999999,-1094.3164960000001,-1308.8085164,4400
22,-1337.007839,-1030.080132,-971.3327380000001,-1711.760939,-1210.732433,-1163.292698,-1170.0346880000002,-1174.86885,-1644.292801,-1312.5756880000001,-1272.5978806,4600
23,-1378.7536029999999,-1510.906888,-1729.609519,-1753.678232,-1001.746342,-1018.780367,-1685.00229,-1069.775474,-1683.950757,-1294.685603,-1412.6889075000001,4800
24,-1046.1564560000002,-1148.83125,-1171.283233,-1265.772409,-1463.686514,-1381.252499,-1287.184824,-1723.6255440000002,-1334.390797,-1331.207054,-1315.339058,5000
25,-1264.102843,-1184.546828,-1193.4060439999998,-1238.079151,-1749.212433,-991.195365,-1386.253649,-1299.719095,-790.48815,-1857.205046,-1295.4208604,5200
26,-1171.355227,-1148.728118,-1182.095033,-1782.6431329999998,-1408.8919130000002,-1262.922909,-1453.436325,-971.671065,-1303.651885,-861.293713,-1254.6689321000001,5400
27,-1025.602619,-1330.119735,-1073.535499,-1187.695101,-1408.2132390000002,-1179.508307,-859.7044050000001,-1006.9499460000001,-1841.935247,-876.323768,-1178.9587866000002,5600
28,-1013.377514,-1300.5310259999999,-882.5991640000001,-1523.8099789999999,-1596.548346,-1192.645526,-894.3800160000001,-878.381451,-1810.873359,-1806.2284719999998,-1289.9374852999997,5800
29,-1624.812884,-1328.090247,-1028.08684,-1415.445332,-1290.944026,-1260.0320689999999,-961.974874,-992.789022,-1517.32023,-1107.059956,-1252.655548,6000
30,-1175.033782,-1354.041117,-1071.0785460000002,-1395.258153,-1555.359194,-1273.973026,-1669.264677,-1105.355892,-1351.523239,-1053.163452,-1300.4051078,6200
