,r,r,r,r,r,r,r,r,r,r,mean_reward,timesteps
14,-1107.368677,-974.225153,-1241.129619,-1212.381108,-1339.9947359999999,-1068.453784,-873.770831,-1145.3961550000001,-1438.4897839999999,-868.4515529999999,-1126.96614,3000
15,-1304.351784,-863.373391,-1276.920221,-1532.431762,-1251.534864,-999.5236189999999,-1178.9830789999999,-1538.837595,-881.857844,-962.1240550000001,-1178.9938214,3200
16,-1532.118776,-896.652341,-1122.638074,-893.7952449999999,-1185.756526,-1289.249532,-1067.970895,-1547.349982,-1163.115198,-1301.951069,-1200.0597638,3400
17,-1173.350608,-1380.287205,-752.1194929999999,-1213.534559,-1401.8392939999999,-972.55078,-1354.620331,-1170.818902,-1246.849725,-922.085934,-1158.8056831,3600
18,-755.357395,-1212.630543,-1358.939525,-1330.7153369999999,-886.908133,-1421.35709,-1072.130294,-1281.453289,-1176.185849,-1529.197764,-1202.4875219,3800
19,-1157.946189,-858.262231,-1330.4653150000001,-868.74916,-1463.691892,-1178.409386,-1276.807777,-884.393878,-1768.507897,-1361.017818,-1214.8251543000001,4000
20,-1699.751241,-1726.727912,-1802.257232,-1468.207344,-1553.388338,-1091.7260509999999,-966.5953689999999,-1635.57324,-933.3251720000001,-878.531802,-1375.6083701000002,4200
21,-1556.4466730000001,-1603.925536,-1673.407107,-1318.996865,-926.1336470000001,-946.902406,-1811.564459,-1030.7071640000001,-800.0606700000001,-1521.012027,-1318.9156554,4400
22,-1584.995908,-1326.670909,-1407.086552,-1149.81581,-963.3786759999999,-1507.443569,-756.819709,-1084.651846,-1476.937375,-1585.952722,-1284.3753076,4600
23,-1593.344059,-851.702898,-1237.769901,-779.383908,-1549.117769,-858.026322,-880.667538,-1631.742654,-1465.3206630000002,-1368.976659,-1221.6052371,4800
24,-1008.283777,-1685.8599579999998,-1148.200649,-1238.17686,-1738.0349820000001,-1336.432525,-1494.25513,-1735.90187,-860.1220710000001,-1332.6751880000002,-1357.794301,5000
25,-1290.802211,-1554.133161,-1275.035304,-1732.705434,-1578.602102,-1494.165927,-1547.510892,-1065.6503519999999,-1536.715574,-1539.021303,-1461.4342259999999,5200
26,-1169.746674,-1795.1052690000001,-1612.2213060000001,-1525.408181,-1376.376732,-1729.610153,-890.0383400000001,-1540.09583,-1315.518516,-1364.691803,-1431.8812804000002,5400
27,-1675.8146960000001,-1724.512034,-1369.7212240000001,-1615.685614,-1776.176723,-1174.60834,-1332.037972,-1608.085963,-1712.6861609999999,-1783.18285,-1577.2511577,5600
28,-1819.767786,-1053.427193,-1549.9820619999998,-1142.886051,-1207.4148400000001,-878.7623800000001,-1445.538865,-1660.370281,-1562.036906,-1582.745618,-1390.2931981999998,5800
29,-1519.831881,-1131.8412640000001,-1071.470086,-1450.204176,-892.842332,-1685.00303,-1846.432955,-1621.355524,-1520.5499550000002,-879.365258,-1361.8896461,6000
30,-1063.436551,-1617.068159,-1163.9550570000001,-897.493505,-1387.1776619999998,-1833.902429,-1516.063435,-1260.73527,-895.955367,-1088.889903,-1272.4677338,6200
31,-1170.491094,-1071.782165,-971.545601,-1568.917217,-1777.360297,-1812.5689100000002,-1198.757765,-889.7359630000001,-1066.222205,-1843.643627,-1337.1024843999999,6400
32,-871.304883,-1469.184132,-758.6899980000001,-1167.709723,-1769.868297,-1068.618902,-1077.303717,-933.0963310000001,-1642.885153,-1547.976816,-1230.6637951999999,6600
33,-1064.0878699999998,-1331.596794,-1219.193456,-1706.538185,-893.357876,-1188.603377,-1008.2261070000001,-1818.678809,-1453.9382560000001,-1375.148881,-1305.9369610999997,6800
