,r,r,r,r,r,r,r,r,r,r,mean_reward,timesteps
0,-1433.352261,-1037.579068,-1291.825103,-1472.882258,-1244.120463,-1174.781429,-1457.414357,-878.573358,-1135.753003,-967.297665,-1209.3578965,200
1,-1074.793999,-763.437609,-1390.722486,-1056.3893679999999,-1253.969585,-1549.556317,-888.261166,-1226.65999,-1136.035472,-788.399913,-1112.8225905,400
2,-1369.864807,-981.872017,-1285.742974,-1261.615278,-1288.428831,-909.290858,-1301.409981,-965.43208,-770.595143,-864.7938029999999,-1099.9045772000004,600
3,-1212.103543,-968.637047,-1250.33054,-1482.533882,-749.872651,-1320.1317490000001,-877.6293900000001,-776.6192139999999,-887.253567,-966.109507,-1049.122109,800
4,-1279.390534,-1176.888972,-1332.582166,-1092.047585,-978.8496220000001,-877.658824,-1075.6684369999998,-867.200914,-884.027117,-894.2491689999999,-1045.856334,1000
5,-1361.6173900000001,-1494.202671,-968.700368,-1182.634884,-1059.0257470000001,-868.9801789999999,-870.973967,-901.0355310000001,-987.468936,-965.5709289999999,-1066.0210602,1200
6,-1033.235159,-990.716747,-1336.8202939999999,-887.501582,-983.031335,-973.961799,-970.591769,-759.5370519999999,-859.503026,-868.770422,-966.3669184999999,1400
7,-1281.026247,-1642.127635,-972.4370769999999,-1172.4482269999999,-863.8471460000001,-995.6581060000001,-994.191158,-878.373432,-885.864809,-974.2554240000001,-1066.0229261,1600
8,-971.5821880000001,-1069.834925,-1180.013287,-894.640351,-892.9797679999999,-754.4738309999999,-984.5642869999999,-942.7414140000001,-844.7298789999999,-1523.974624,-1005.9534554000002,1800
9,-1187.964084,-1127.199699,-813.383736,-876.636371,-908.0803609999999,-857.5796109999999,-889.1090140000001,-878.709149,-1755.9719739999998,-968.5744279999999,-1026.3208427,2000
10,-965.620018,-868.0737839999999,-969.5379859999999,-1156.918629,-764.233687,-968.905748,-988.1595570000001,-1622.3602640000001,-1059.497268,-843.267118,-1020.6574058999998,2200
11,-1063.7204179999999,-1408.1197140000002,-1065.183717,-864.2669460000001,-883.431315,-882.2826949999999,-1741.095243,-930.254786,-1035.585894,-1047.0064949999999,-1092.0947222999998,2400
12,-1520.7229029999999,-1439.713387,-1106.393484,-1583.610579,-895.263836,-1172.8377970000001,-1081.877287,-1475.134308,-692.582207,-1142.871106,-1211.1006894,2600
13,-1386.8142990000001,-857.611825,-1538.446375,-1158.213917,-849.408176,-1188.567734,-1608.340968,-811.198135,-1189.48618,-1689.72028,-1227.7807889,2800
14,-1606.364647,-1168.537984,-1137.354633,-1094.7995349999999,-1167.528151,-1686.141278,-844.4196720000001,-1186.907826,-1642.7258630000001,-867.40669,-1240.2186279000002,3000
15,-1073.846207,-1168.557375,-1106.62501,-1205.33383,-1628.430245,-1006.5152939999999,-1316.603226,-1676.62376,-886.753992,-1045.849604,-1211.5138543,3200
16,-1174.100268,-976.397474,-1181.450962,-1503.524895,-964.7195929999999,-1165.026708,-1630.7721119999999,-794.962556,-984.8075470000001,-1244.3637800000001,-1162.0125895,3400
17,-1380.138501,-1359.175949,-1559.0841460000001,-853.0890300000001,-1293.638163,-1783.237764,-939.6552730000001,-1161.054119,-1064.261047,-900.7922560000001,-1229.4126248,3600
18,-1192.891952,-1448.219052,-1751.444435,-1314.454974,-1275.2378820000001,-1309.002882,-1205.455933,-1225.280905,-758.339783,-1165.148917,-1264.5476715,3800
19,-1491.237285,-863.5733359999999,-1293.466174,-1303.943407,-1156.959791,-1485.213603,-1257.123558,-861.4032289999999,-972.5727289999999,-1283.377242,-1196.8870353999998,4000
20,-1449.961238,-774.68273,-1198.122394,-1172.772266,-1251.254864,-1178.0897400000001,-748.664981,-1062.8318980000001,-1521.6702070000001,-963.5963119999999,-1132.164663,4200
21,-1361.051483,-898.352316,-1183.319593,-1353.2989630000002,-1168.45298,-757.719306,-1193.459638,-1319.335959,-1011.2468060000001,-915.2688539999999,-1116.1505898,4400
22,-1075.237475,-749.220173,-1267.586294,-1181.72314,-770.2586150000001,-1170.609237,-1489.286548,-708.269887,-751.661714,-871.3608210000001,-1003.5213904,4600
23,-1357.513938,-1367.410106,-1272.171124,-871.0042119999999,-1018.8844869999999,-1264.35491,-749.033175,-952.6761050000001,-744.923625,-1043.1904789999999,-1064.1162161,4800
24,-1631.078456,-862.9873970000001,-1184.618533,-869.162927,-1394.352476,-1409.7962699999998,-1055.130363,-1461.86166,-1072.659618,-1173.02652,-1211.467422,5000
